date,scheme,alpha,kappa,initial_soc_kwh,final_soc_kwh,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-09-25,2,0.83,1.0,6555.384318218061,6742.740024974069,73030.56021502067,15.37166666666667,19005.576298274493,15225.896665521937,8930.803348934796,45792.81526311228,103.49743166666669,45896.31269477895
2025-09-26,2,0.83,1.0,6742.740024974069,9809.485991079713,44971.169453520226,0.0,15927.451098266036,10141.164020100407,21490.6388753546,26851.362668260103,0.0,26851.362668260103
2025-09-27,2,0.83,1.0,9809.485991079713,8675.957267357819,39521.8789217484,0.0,14704.80175800169,12931.065275331079,19946.84018907779,23837.51320661669,0.0,23837.51320661669
2025-09-28,2,0.83,1.0,8675.957267357819,6132.493922535897,66272.3290328666,214.49104329005988,19278.308428912293,17904.546837758695,1625.4293183363975,41451.0288947735,1043.7854790286538,42494.81437380215
2025-09-29,2,0.83,1.0,6132.493922535897,6275.523100071253,73881.68856586643,12.781810202951874,20291.06635323103,16307.037486335308,7150.549909173661,46039.482293329784,72.75191759062672,46112.23421092041
2025-09-30,2,0.83,1.0,6275.523100071253,6447.170859889737,73626.65029404653,31.411150000000134,21289.652571844636,17090.135599357516,4036.369704892754,46025.20767158845,212.2294349750009,46237.43710656345
2025-10-01,2,0.84,1.125,6447.170859889737,8147.5234623136375,76024.40556877665,0.0,18236.25677672601,13241.050646966556,21367.677905683857,47696.29445692846,0.0,47696.29445692846
2025-10-02,2,0.84,1.125,8147.5234623136375,8289.890980989465,70236.18527825072,0.0,17699.610534349988,14208.553766015248,15014.345393249327,44445.75866755517,0.0,44445.75866755517
2025-10-03,2,0.84,1.125,8289.890980989465,10800.0,41178.15434373471,0.0,14985.02191727767,9878.76963588543,28254.74836234247,24538.585299456565,0.0,24538.585299456565
2025-10-04,2,0.84,1.125,10800.0,9972.700436157671,36697.34543867326,0.0,15473.590888839331,13278.178227417957,21405.950343918554,21958.927911017934,0.0,21958.927911017934
2025-10-05,2,0.84,1.125,9972.700436157671,7206.588394980678,60074.23466758635,0.0,17056.899427806784,16305.589373582794,4586.963546695695,37806.912420772496,0.0,37806.912420772496
2025-10-06,2,0.84,1.125,7206.588394980678,7232.476659864397,65942.14151053707,0.0,19244.41990921677,15564.680688070235,4529.293039390537,41245.10802185227,0.0,41245.10802185227
2025-10-07,2,0.84,1.125,7232.476659864397,7443.05692069284,66368.1545937096,0.0,20153.778331291905,16135.03821360085,4577.851476018539,41492.58653035879,0.0,41492.58653035879
2025-10-08,2,0.84,1.125,7443.05692069284,7161.86956417142,66279.48293694464,0.0,18967.355263290086,15616.626384134252,6450.258391122134,41226.58944077287,0.0,41226.58944077287
2025-10-09,2,0.84,1.125,7161.86956417142,7297.046763040229,67411.22077340145,0.0,19196.945614441764,15427.866468715903,7882.159944342266,42007.678549445365,0.0,42007.678549445365
2025-10-10,2,0.84,1.125,7297.046763040229,10060.478263517112,42072.215824899096,0.0,15894.812740859208,10387.70996966677,27221.50213703999,24425.706652407927,0.0,24425.706652407927
