date,slot,period,price_yuan_per_kwh,load_kwh,pv_kwh,plan_purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,waste_kwh,soc_start_kwh,soc_end_kwh
2025-12-16,38,06:20-06:30,1.0757,941.7666666666668,0.0,954.4051539953879,12.638487328721112,0.0,0.0,0.0,10105.055606453669,10116.430245049518
2025-12-16,39,06:30-06:40,1.0184,880.2630666666668,1.0884666666666667,914.1501383460134,34.97553834601331,0.0,0.0,0.0,10116.430245049518,10147.90822956093
2025-12-16,40,06:40-06:50,1.0202,854.54145,0.0,895.7748268204338,41.233376820433705,0.0,0.0,0.0,10147.90822956093,10185.01826869932
2025-12-16,41,06:50-07:00,1.0704,894.9499999999999,0.0,906.0717513585008,11.121751358500887,0.0,0.0,0.0,10185.01826869932,10195.02784492197
2025-12-16,42,07:00-07:10,1.0246,898.1866833333333,30.71213333333333,855.1089858096267,0.0,12.365564190373334,0.0,0.0,10195.02784492197,10181.288329154888
2025-12-16,43,07:10-07:20,0.9691,894.5898166666666,74.97206666666666,836.788605079748,17.170855079748094,0.0,0.0,0.0,10181.288329154888,10196.742098726661
2025-12-16,44,07:20-07:30,0.9286,885.6066666666667,119.4875,819.8880483718305,53.76888170516372,0.0,0.0,0.0,10196.742098726661,10245.134092261309
2025-12-16,45,07:30-07:40,0.8819,859.6509833333333,162.47178333333332,1553.0586620119548,616.5176752652122,0.0,0.0,239.3617867467425,10245.134092261309,10800.0
2025-12-16,46,07:40-07:50,1.093,996.0877,207.02736666666667,790.5481474439114,0.0,0.0,0.0,1.4878141105780287,10800.0,10800.0
2025-12-16,47,07:50-08:00,1.4263,1215.7366666666667,256.59375,142.60693931703884,0.0,816.5359773496278,0.0,0.0,10800.0,9892.737802944857
2025-12-16,48,08:00-08:10,1.4418,1237.0374,310.77029999999996,98.97934513203256,0.0,827.2877548679675,0.0,0.0,9892.737802944857,8973.529186424894
2025-12-16,49,08:10-08:20,1.3616,1191.3089333333335,357.72178333333335,0.0,0.0,833.3333333333334,0.2538166666666939,0.0,8973.529186424894,8047.603260498968
2025-12-16,50,08:20-08:30,1.3465,1190.1966666666667,401.78749999999997,0.0,0.0,788.4091666666668,0.0,0.0,8047.603260498968,7171.593075313783
2025-12-16,51,08:30-08:40,1.3384,1211.0121833333333,456.3730166666667,0.0,0.0,754.6391666666666,0.0,0.0,7171.593075313783,6333.10511235082
2025-12-16,52,08:40-08:50,1.3271,1202.0016333333333,496.52029999999996,0.0,0.0,705.4813333333334,0.0,0.0,6333.10511235082,5549.2369642026715
2025-12-16,53,08:50-09:00,1.3109,1178.3733333333332,520.90625,0.0,0.0,657.4670833333332,0.0,0.0,5549.2369642026715,4818.71798272119
2025-12-16,54,09:00-09:10,1.283,1195.4011166666667,553.37225,0.0,0.0,642.0288666666667,0.0,0.0,4818.71798272119,4105.352575313783
2025-12-16,55,09:10-09:20,1.2429,1181.8526,585.27805,462.9271029674592,0.0,133.64744703254075,0.0,0.0,4105.352575313783,3956.8554119442933
2025-12-16,56,09:20-09:30,1.1989,1138.615,613.15,498.6278882402106,0.0,26.837111759789423,0.0,0.0,3956.8554119442933,3927.036398877861
2025-12-16,57,09:30-09:40,1.1837,1143.88715,645.6784,500.1797843779334,1.9710343779333925,0.0,0.0,0.0,3927.036398877861,3928.810329818001
2025-12-16,58,09:40-09:50,1.2888,1168.0293333333334,685.1368833333332,0.0,0.0,482.89245000000017,0.0,0.0,3928.810329818001,3392.263163151334
2025-12-16,59,09:50-10:00,1.4293,1178.3583333333333,721.7125,0.0,0.0,456.64583333333337,0.0,0.0,3392.263163151334,2884.878903892075
2025-12-16,60,10:00-10:10,1.4053,1170.2906333333333,748.9649333333333,0.0,0.0,421.3257,0.0,0.0,2884.878903892075,2416.7392372254085
2025-12-16,61,10:10-10:20,1.318,1151.88275,811.5228333333333,0.0,0.0,340.35991666666666,0.0,0.0,2416.7392372254085,2038.5615520402234
2025-12-16,62,10:20-10:30,1.319,1145.4733333333334,881.55625,0.0,0.0,263.9170833333334,0.0,0.0,2038.5615520402234,1745.3203483365196
2025-12-16,63,10:30-10:40,1.416,1169.0108166666666,880.6198666666666,0.0,0.0,288.3909500000001,0.0,0.0,1745.3203483365196,1424.8859594476307
2025-12-16,64,10:40-10:50,1.1777,1179.2242833333332,866.8752333333333,311.79445455786913,0.0,0.5545954421307897,0.0,0.0,1424.8859594476307,1424.2697422897077
2025-12-16,65,10:50-11:00,0.747,1161.3633333333335,881.49375,1143.8147271544194,833.3333333333334,0.0,0.0,30.611810487752564,1424.2697422897077,2174.2697422897077
2025-12-16,66,11:00-11:10,0.7185,1145.4751666666666,911.1564833333333,1152.6532389427255,833.3333333333334,0.0,0.0,85.0012222760588,2174.2697422897077,2924.2697422897077
2025-12-16,67,11:10-11:20,0.7784,1162.86305,933.3449333333333,1131.3596049559746,833.3333333333334,0.0,0.0,68.50815495597465,2924.2697422897077,3674.2697422897077
2025-12-16,68,11:20-11:30,0.7288,1196.1566666666665,933.9,1108.8984478741088,833.3333333333334,0.0,0.0,13.308447874108879,3674.2697422897077,4424.269742289707
2025-12-16,69,11:30-11:40,0.696,1192.1100333333334,916.1679833333333,1050.729189828373,774.7871398283728,0.0,0.0,0.0,4424.269742289707,5121.578168135243
2025-12-16,70,11:40-11:50,0.6977,1148.581,911.7836833333334,1044.0867678066277,807.2894511399612,0.0,0.0,0.0,5121.578168135243,5848.138674161208
2025-12-16,71,11:50-12:00,0.7075,1090.1133333333335,927.8375,1027.3061719151656,833.3333333333334,0.0,0.0,31.697005248498726,5848.138674161208,6598.138674161208
2025-12-16,72,12:00-12:10,0.702,1051.3697166666668,940.3909333333332,1004.5259208239686,833.3333333333334,0.0,0.0,60.21380415730164,6598.138674161208,7348.138674161208
2025-12-16,73,12:10-12:20,0.718,1052.1070666666667,928.5961000000001,1023.9280433892608,833.3333333333334,0.0,0.0,67.0837433892608,7348.138674161208,8098.138674161208
2025-12-16,74,12:20-12:30,0.7197,1065.5933333333335,899.65,1017.7905792102058,833.3333333333334,0.0,0.0,18.513912543538936,8098.138674161208,8848.138674161208
2025-12-16,75,12:30-12:40,0.6606,1046.8691666666666,882.0412500000001,1007.0113139672428,833.3333333333334,0.0,0.0,8.850063967242932,8848.138674161208,9598.138674161208
2025-12-16,76,12:40-12:50,0.7838,1045.6212333333333,880.9715166666666,1026.0697398323978,833.3333333333334,0.0,0.0,28.086689832397724,9598.138674161208,10348.138674161208
2025-12-16,77,12:50-13:00,1.035,1069.5433333333333,878.475,242.76942278356012,51.701089450226846,0.0,0.0,0.0,10348.138674161208,10394.669654666412
2025-12-16,78,13:00-13:10,1.0948,1074.4208833333334,854.3537666666666,270.981669747429,50.914553080762175,0.0,0.0,0.0,10394.669654666412,10440.492752439097
2025-12-16,79,13:10-13:20,1.0618,1072.44585,845.4618333333333,266.19793015823416,39.21391349156738,0.0,0.0,0.0,10440.492752439097,10475.785274581507
