date,selector,history_start,history_end,risk_index,controller,selected,combo,score,window_cost_yuan,window_emergency_kwh,initial_soc_kwh,final_soc_kwh,inventory_credit_yuan
2025-10-04,same_start,2025-09-06,2025-10-03,5,mpc,0,11,1063273.4635605873,1064092.8612789877,10118.05160300691,8647.273698104964,9917.840462778158,819.3977184004282
2025-10-04,continuous,2025-09-06,2025-10-03,0,greedy,0,0,1081554.558881086,1082250.4197027145,12418.393089580988,8419.477037505698,9498.486184035111,695.860821628532
2025-10-04,continuous,2025-09-06,2025-10-03,0,mpc,0,1,1073591.2044229885,1074287.065244617,13177.044004573765,8419.477037505698,9498.486184035111,695.860821628532
2025-10-04,continuous,2025-09-06,2025-10-03,1,greedy,0,2,1080018.5441429368,1080759.8380039295,14476.73622151196,8416.366392140382,9565.824489817682,741.293860992763
2025-10-04,continuous,2025-09-06,2025-10-03,1,mpc,0,3,1071333.2173960614,1072074.511257054,15277.850127043825,8416.366392140382,9565.824489817682,741.293860992763
2025-10-04,continuous,2025-09-06,2025-10-03,2,greedy,0,4,1072376.0634737657,1073224.4733129584,13371.252562481044,8452.3824071513,9767.93567303551,848.4098391925261
2025-10-04,continuous,2025-09-06,2025-10-03,2,mpc,0,5,1064407.4400605946,1065255.8498997872,14206.39130392899,8452.3824071513,9767.93567303551,848.4098391925261
2025-10-04,continuous,2025-09-06,2025-10-03,3,greedy,0,6,1072973.458945656,1073887.7807357586,10679.295360914866,8459.305063790183,9877.062097564543,914.3217901026042
2025-10-04,continuous,2025-09-06,2025-10-03,3,mpc,0,7,1066344.5150045373,1067258.83679464,11433.297301278568,8459.305063790183,9877.062097564543,914.3217901026042
2025-10-04,continuous,2025-09-06,2025-10-03,4,greedy,0,8,1068199.3764699392,1068934.335855592,12637.453893710204,8647.273698104964,9786.909491353266,734.959385652835
2025-10-04,continuous,2025-09-06,2025-10-03,4,mpc,1,9,1061435.6140690194,1062170.5734546722,13302.267243505941,8647.273698104964,9786.909491353266,734.959385652835
2025-10-04,continuous,2025-09-06,2025-10-03,5,greedy,0,10,1069652.5527298397,1070445.7940971174,9533.86723050341,8687.832012675939,9917.840462778158,793.2413672777291
2025-10-04,continuous,2025-09-06,2025-10-03,5,mpc,0,11,1063286.4753674094,1064079.716734687,10118.051603006914,8687.832012675939,9917.840462778158,793.2413672777291
2025-10-11,same_start,2025-09-13,2025-10-10,0,greedy,0,0,1014783.8838933274,1013961.0581678614,3706.5149621500323,9501.256395175333,8219.664851097263,-822.8257254659646
2025-10-11,same_start,2025-09-13,2025-10-10,0,mpc,0,1,1014446.5360033137,1013623.7102778477,3843.5429103265587,9501.256395175333,8219.664851097263,-822.8257254659646
2025-10-11,same_start,2025-09-13,2025-10-10,1,greedy,0,2,1010655.3497972582,1009725.6618660522,4756.168787601574,9501.256395175333,8053.221708862717,-929.6879312060115
2025-10-11,same_start,2025-09-13,2025-10-10,1,mpc,0,3,1010038.6019179543,1009108.9139867483,4857.882250284313,9501.256395175333,8053.221708862717,-929.6879312060115
2025-10-11,same_start,2025-09-13,2025-10-10,2,greedy,0,4,1004635.7739162141,1003657.6501020376,3643.3118618261283,9501.256395175333,7977.780438465109,-978.123814176541
2025-10-11,same_start,2025-09-13,2025-10-10,2,mpc,0,5,1004147.7990067346,1003169.6751925581,3722.1777430731336,9501.256395175333,7977.780438465109,-978.123814176541
2025-10-11,same_start,2025-09-13,2025-10-10,3,greedy,0,6,1012856.9708026549,1011967.4011256451,2421.889259942178,9501.256395175333,8115.707863281391,-889.5696770097339
2025-10-11,same_start,2025-09-13,2025-10-10,3,mpc,0,7,1012387.802647647,1011498.2329706373,2444.949978304522,9501.256395175333,8115.707863281391,-889.5696770097339
2025-10-11,same_start,2025-09-13,2025-10-10,4,greedy,0,8,1004054.6420292591,1003078.695823973,3147.9180153807424,9501.256395175333,7981.172171433445,-975.9462052861314
2025-10-11,same_start,2025-09-13,2025-10-10,4,mpc,1,9,1003552.0321181271,1002576.085912841,3190.0564669283867,9501.256395175333,7981.172171433445,-975.9462052861314
2025-10-11,same_start,2025-09-13,2025-10-10,5,greedy,0,10,1014818.8860799288,1013946.6159694857,1813.43302948692,9501.256395175333,8142.65278921383,-872.2701104431217
2025-10-11,same_start,2025-09-13,2025-10-10,5,mpc,0,11,1014385.2023048553,1013512.9321944122,1824.057009906948,9501.256395175333,8142.65278921383,-872.2701104431217
2025-10-11,continuous,2025-09-13,2025-10-10,0,greedy,0,0,1014835.1797953412,1013906.5239531905,3706.514962150032,9666.092007935418,8219.664851097263,-928.6558421506936
2025-10-11,continuous,2025-09-13,2025-10-10,0,mpc,0,1,1014497.8319053274,1013569.1760631767,3843.5429103265587,9666.092007935418,8219.664851097263,-928.6558421506936
2025-10-11,continuous,2025-09-13,2025-10-10,1,greedy,0,2,1010600.8815717283,1009783.5686731694,4756.168787601575,9326.226753844583,8053.221708862717,-817.3128985589105
2025-10-11,continuous,2025-09-13,2025-10-10,1,mpc,0,3,1009984.1336924245,1009166.8207938656,4857.882250284313,9326.226753844583,8053.221708862717,-817.3128985589105
2025-10-11,continuous,2025-09-13,2025-10-10,2,greedy,0,4,1004635.7739162139,1003657.6501020374,3643.3118618261283,9501.256395175333,7977.780438465109,-978.123814176541
2025-10-11,continuous,2025-09-13,2025-10-10,2,mpc,0,5,1004147.7990067347,1003169.6751925582,3722.1777430731336,9501.256395175333,7977.780438465109,-978.123814176541
2025-10-11,continuous,2025-09-13,2025-10-10,3,greedy,0,6,1012964.000442065,1011853.6147001686,2421.889259942178,9845.18827867966,8115.707863281391,-1110.3857418963826
2025-10-11,continuous,2025-09-13,2025-10-10,3,mpc,0,7,1012494.8322870573,1011384.446545161,2444.949978304522,9845.18827867966,8115.707863281391,-1110.3857418963826
2025-10-11,continuous,2025-09-13,2025-10-10,4,greedy,0,8,1004024.2575940455,1003110.9984299813,3147.9180153807424,9403.618244754283,7981.172171433445,-913.2591640641576
2025-10-11,continuous,2025-09-13,2025-10-10,4,mpc,1,9,1003521.6476829135,1002608.3885188493,3190.0564669283867,9403.618244754283,7981.172171433445,-913.2591640641576
2025-10-11,continuous,2025-09-13,2025-10-10,5,greedy,0,10,1014906.0982394847,1013853.8981022799,1813.43302948692,9781.506263023,8142.65278921383,-1052.2001372047923
2025-10-11,continuous,2025-09-13,2025-10-10,5,mpc,0,11,1014472.4144644112,1013420.2143272064,1824.057009906948,9781.506263023,8142.65278921383,-1052.2001372047923
2025-10-18,same_start,2025-09-20,2025-10-17,0,greedy,0,0,1003003.8824308251,1002487.4593314333,4506.190729989046,9192.212084213696,8390.036993683232,-516.4230993918699
2025-10-18,same_start,2025-09-20,2025-10-17,0,mpc,0,1,1002797.3075694056,1002280.8844700138,4795.205337898052,9192.212084213696,8390.036993683232,-516.4230993918699
2025-10-18,same_start,2025-09-20,2025-10-17,1,greedy,0,2,1003079.4817618738,1002498.6095042237,6048.882158178941,9192.212084213696,8289.926232911028,-580.8722576501647
2025-10-18,same_start,2025-09-20,2025-10-17,1,mpc,0,3,1002415.2918019502,1001834.4195443001,6326.462606535909,9192.212084213696,8289.926232911028,-580.8722576501647
