date,day,risk_index,controller,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-04-19,108,0,mpc,27223.5104014592,0.0,16296.088801283384,13667.64322120832,17810.385571384137,6862.024584751992,6342.23426012001,10221.929992997771,0.0,10221.929992997771
2025-04-20,109,0,mpc,60705.896700064244,0.0,20358.74039864409,16256.425020419,4645.83643850581,6342.23426012001,6602.406151767478,35657.62970068923,0.0,35657.62970068923
2025-04-21,110,0,mpc,60048.92312760747,0.0,19449.375074639873,16171.949781881305,8254.587451515576,6602.406151767478,6138.010627964137,34583.208078234034,0.0,34583.208078234034
2025-04-22,111,0,mpc,59377.65713636883,0.0,20193.629632735465,16123.669386830094,3154.767573796792,6138.010627964137,6397.089089837058,34947.2943082955,0.0,34947.2943082955
2025-04-23,112,0,mpc,59728.582084169495,0.0,19600.53443028106,15754.136998520973,4482.267935742748,6397.089089837058,6532.973412066707,34926.61296194559,0.0,34926.61296194559
2025-04-24,113,0,mpc,59503.48618011109,0.0,18975.382861429847,15540.038544221128,8978.035162902363,6532.973412066707,6344.108493774544,34381.764868028054,0.0,34381.764868028054
2025-04-25,114,0,mpc,27411.118410995514,0.0,18520.364589563702,14978.416900284346,21868.813071716162,6344.108493774544,6369.751179621495,9696.228826571669,0.0,9696.228826571669
2025-04-26,115,0,mpc,27440.396566001924,0.0,19522.78907315225,16054.35758389386,23901.771443410194,6369.751179621495,6102.086252243129,9978.273212579514,0.0,9978.273212579514
2025-04-27,116,0,mpc,56738.09161237109,0.0,22049.695193379906,17496.143735470676,3611.0689711285295,6102.086252243129,6506.652220206514,32936.689205742136,0.0,32936.689205742136
2025-04-28,117,0,mpc,55344.978038749236,4344.967216317311,15107.614283149307,12497.288178752307,457.6518340028824,6506.652220206514,6217.629320871658,33079.87520043762,26699.817275887664,59779.69247632529
2025-04-29,118,0,mpc,65359.875960923135,0.0,19005.830119919272,15176.664010116456,14097.49613445365,6217.629320871658,6459.916417558496,36837.88167126612,0.0,36837.88167126612
2025-04-30,119,0,mpc,62222.398649301715,0.0,17336.492641812598,14183.696202541978,10812.747776697757,6459.916417558496,6303.0973479209715,35832.465716369734,0.0,35832.465716369734
2025-05-01,120,0,mpc,59331.073598098206,2062.0374244109435,21063.762016101653,17552.034812189682,6870.00501859718,6303.0973479209715,5758.222259979485,34875.80999426306,11395.541535227225,46271.35152949028
2025-05-02,121,0,mpc,31565.932025590395,0.0,18543.318347031716,14484.332886823351,13216.626482048698,5758.222259979485,6353.505564726533,13273.793033179943,0.0,13273.793033179943
