date,slot,period,actual_load_kwh,old_load_forecast_kwh,new_load_forecast_kwh,actual_pv_kwh,pv_forecast_kwh
2025-02-11,108,18:00-18:10,687.8893166666667,685.6997219116977,697.5857307527691,0.0,0.0015567431922990519
2025-02-11,109,18:10-18:20,712.7812166666666,708.0899893200992,722.3840026238342,0.03,0.01373556610391909
2025-02-11,110,18:20-18:30,714.0583333333334,719.1604963389491,710.0055188063641,0.0,0.0
2025-02-11,111,18:30-18:40,718.823,719.7731302818011,704.7737209523893,0.0,0.00011262930417043773
2025-02-11,112,18:40-18:50,720.1869833333334,706.2354231602372,716.0502540870629,0.00215,0.0009720501498545322
2025-02-11,113,18:50-19:00,715.3866666666667,695.5717578848755,728.7271127890027,0.0,0.0
2025-02-11,114,19:00-19:10,713.8159666666667,697.6798535983402,721.9618092569717,0.0,0.0
2025-02-11,115,19:10-19:20,718.1241833333333,706.6783592527931,708.7219115166492,0.0,0.0
2025-02-11,116,19:20-19:30,727.8083333333334,703.8028923893864,705.2681690189462,0.0,0.0
2025-02-11,117,19:30-19:40,738.1401333333333,694.764432566149,714.9980325516776,0.0,0.0
2025-02-11,118,19:40-19:50,733.7376833333333,720.3242584414967,712.6857546792478,0.0,0.0
2025-02-11,119,19:50-20:00,719.1216666666666,744.7681660587638,701.6454571655985,0.0,0.0
2025-02-11,120,20:00-20:10,716.5900166666667,697.4496344332296,708.3958508217338,0.0,0.0
2025-02-11,121,20:10-20:20,728.6311000000001,668.5369407483882,711.1283045164813,0.0,0.0
2025-02-11,122,20:20-20:30,736.3216666666667,692.4626047791415,707.4846966660604,0.0,0.0
2025-02-11,123,20:30-20:40,720.98815,706.5810779847154,716.6208644601937,0.0,0.0
2025-02-11,124,20:40-20:50,726.6821166666667,711.8701978375658,717.4686932135959,0.0,0.0
2025-02-11,125,20:50-21:00,742.3483333333334,712.9243772659066,710.7648693631397,0.0,0.0
2025-02-11,126,21:00-21:10,716.4616333333333,702.452281093293,718.8034430404448,0.0,0.0
2025-02-11,127,21:10-21:20,715.7357000000001,703.0948963809184,722.7689933561196,0.0,0.0
2025-02-11,128,21:20-21:30,751.9899999999999,716.2578612441382,727.5021750295323,0.0,0.0
