date,period,slot,scheme,alpha,kappa,price_yuan_per_kwh,load_kwh,pv_kwh,plan_purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,waste_kwh,soc_start_kwh,soc_end_kwh
2025-08-12,20:10-20:20,121,2,0.82,0.875,1.34,930.6203666666667,0.0,669.8106496725924,0.0,260.8097169940743,0.0,0.0,2866.552128488089,2576.7635540502283
2025-08-12,20:20-20:30,122,2,0.82,0.875,1.3489,942.7933333333333,0.0,135.42743112216408,0.0,807.3659022111692,0.0,0.0,2576.7635540502283,1679.6903293711514
2025-08-12,20:30-20:40,123,2,0.82,0.875,1.3952,937.2064833333334,0.0,142.6091783737503,0.0,431.7212964340363,362.8760085255468,0.0,1679.6903293711514,1200.0
2025-08-12,20:40-20:50,124,2,0.82,0.875,1.2226,945.8885833333334,0.0,967.5954547007325,21.706871367399117,0.0,0.0,0.0,1200.0,1219.5361842306593
2025-08-12,20:50-21:00,125,2,0.82,0.875,0.9332,964.8766666666667,0.0,958.4357537775116,0.0,6.440912889155015,0.0,0.0,1219.5361842306593,1212.3796143538204
2025-08-12,21:00-21:10,126,2,0.82,0.875,0.9068,952.1888833333334,0.0,982.8241391836588,30.635255850325393,0.0,0.0,0.0,1212.3796143538204,1239.9513446191133
2025-08-12,21:10-21:20,127,2,0.82,0.875,0.9371,923.5720833333332,0.0,983.8299534796196,60.257870146286336,0.0,0.0,0.0,1239.9513446191133,1294.183427750771
2025-08-12,21:20-21:30,128,2,0.82,0.875,0.9371,922.8966666666666,0.0,977.2709460563555,54.37427938968881,0.0,0.0,0.0,1294.183427750771,1343.120279201491
2025-08-12,21:30-21:40,129,2,0.82,0.875,0.9871,963.3100999999999,0.0,996.3206589493868,33.010558949386905,0.0,0.0,0.0,1343.120279201491,1372.8297822559393
2025-08-12,21:40-21:50,130,2,0.82,0.875,0.7764,892.9811500000001,0.0,920.4829386290643,27.501788629064208,0.0,0.0,0.0,1372.8297822559393,1397.5813920220971
2025-08-12,21:50-22:00,131,2,0.82,0.875,0.4209,754.8183333333333,0.0,1619.9584565904138,833.3333333333333,0.0,0.0,31.80678992374726,1397.5813920220971,2147.581392022097
2025-08-12,22:00-22:10,132,2,0.82,0.875,0.3859,753.8361333333334,0.0,1607.9446763248861,833.3333333333333,0.0,0.0,20.775209658219524,2147.581392022097,2897.581392022097
2025-08-12,22:10-22:20,133,2,0.82,0.875,0.4368,802.3468166666667,0.0,800.8448581199106,0.0,1.5019585467561,0.0,0.0,2897.581392022097,2895.9125491923683
2025-08-12,22:20-22:30,134,2,0.82,0.875,0.4198,813.9833333333332,0.0,1634.3974291008353,820.4140957675021,0.0,0.0,0.0,2895.9125491923683,3634.2852353831204
2025-08-12,22:30-22:40,135,2,0.82,0.875,0.4186,787.4062333333333,0.0,1628.594617067452,833.3333333333333,0.0,0.0,7.855050400785444,3634.2852353831204,4384.28523538312
2025-08-12,22:40-22:50,136,2,0.82,0.875,0.4241,752.3311833333333,0.0,789.9962538946327,37.66507056129933,0.0,0.0,0.0,4384.28523538312,4418.18379888829
2025-08-12,22:50-23:00,137,2,0.82,0.875,0.4237,729.6633333333332,0.0,1613.064730695608,833.3333333333333,0.0,0.0,50.068064028941535,4418.18379888829,5168.18379888829
2025-08-12,23:00-23:10,138,2,0.82,0.875,0.4248,726.1956666666666,0.0,780.4872563744714,54.29158970780475,0.0,0.0,0.0,5168.18379888829,5217.0462296253145
2025-08-12,23:10-23:20,139,2,0.82,0.875,0.424,753.07205,0.0,787.8463314849512,34.77428148495119,0.0,0.0,0.0,5217.0462296253145,5248.343082961771
2025-08-12,23:20-23:30,140,2,0.82,0.875,0.422,774.7183333333334,0.0,1623.9338219182787,833.3333333333333,0.0,0.0,15.882155251612062,5248.343082961771,5998.343082961771
2025-08-12,23:30-23:40,141,2,0.82,0.875,0.424,738.6909,0.0,1110.9635234149464,372.27262341494634,0.0,0.0,0.0,5998.343082961771,6333.388444035223
2025-08-12,23:40-23:50,142,2,0.82,0.875,0.4271,713.6215666666667,0.0,771.7578686070881,58.13630194042139,0.0,0.0,0.0,6333.388444035223,6385.7111157816025
2025-08-12,23:50-24:00,143,2,0.82,0.875,0.4276,722.4766666666666,0.0,771.1722432448958,48.69557657822918,0.0,0.0,0.0,6385.7111157816025,6429.537134702009
2025-08-13,00:00-00:10,0,2,0.82,0.875,0.4248,723.8545166666665,0.0,1596.1261067259566,833.3333333333333,0.0,0.0,38.93825672595676,6429.537134702009,7179.537134702009
2025-08-13,00:10-00:20,1,2,0.82,0.875,0.4245,723.87205,0.0,1587.6540604724719,833.3333333333333,0.0,0.0,30.44867713913868,7179.537134702009,7929.537134702009
2025-08-13,00:20-00:30,2,2,0.82,0.875,0.4269,721.9033333333333,0.0,1594.4947877707964,833.3333333333333,0.0,0.0,39.25812110412983,7929.537134702009,8679.537134702008
2025-08-13,00:30-00:40,3,2,0.82,0.875,0.4272,716.0684333333334,0.0,1460.1944935308475,744.1260601975141,0.0,0.0,0.0,8679.537134702008,9349.250588879771
2025-08-13,00:40-00:50,4,2,0.82,0.875,0.4271,770.8840833333334,0.0,1602.8498084446196,831.9657251112862,0.0,0.0,0.0,9349.250588879771,10098.01974147993
2025-08-13,00:50-01:00,5,2,0.82,0.875,0.4285,821.1983333333333,0.0,770.3381635832836,0.0,50.860169750049636,0.0,0.0,10098.01974147993,10041.508441757653
2025-08-13,01:00-01:10,6,2,0.82,0.875,0.4311,736.6440666666667,0.0,772.6311610146429,35.987094347976154,0.0,0.0,0.0,10041.508441757653,10073.89682667083
2025-08-13,01:10-01:20,7,2,0.82,0.875,0.4302,701.8292166666666,0.0,759.4901625139249,57.66094584725829,0.0,0.0,0.0,10073.89682667083,10125.791677933363
2025-08-13,01:20-01:30,8,2,0.82,0.875,0.4279,752.1366666666665,0.0,736.6615370052755,0.0,15.475129661391065,0.0,0.0,10125.791677933363,10108.597089420706
2025-08-13,01:30-01:40,9,2,0.82,0.875,0.4312,738.1274166666667,0.0,744.9392425451906,6.811825878523905,0.0,0.0,0.0,10108.597089420706,10114.727732711377
2025-08-13,01:40-01:50,10,2,0.82,0.875,0.4333,688.4552666666666,0.0,746.7891260442428,58.33385937757623,0.0,0.0,0.0,10114.727732711377,10167.228206151196
2025-08-13,01:50-02:00,11,2,0.82,0.875,0.4311,657.5899999999999,0.0,732.9115286300171,75.32152863001716,0.0,0.0,0.0,10167.228206151196,10235.017581918211
2025-08-13,02:00-02:10,12,2,0.82,0.875,0.4293,665.12175,0.0,733.337444661741,68.21569466174094,0.0,0.0,0.0,10235.017581918211,10296.411707113779
2025-08-13,02:10-02:20,13,2,0.82,0.875,0.4324,677.9429,0.0,736.703916782292,58.76101678229202,0.0,0.0,0.0,10296.411707113779,10349.296622217842
2025-08-13,02:20-02:30,14,2,0.82,0.875,0.4367,693.2399999999999,0.0,728.44730841222,35.20730841222007,0.0,0.0,0.0,10349.296622217842,10380.98319978884
2025-08-13,02:30-02:40,15,2,0.82,0.875,0.4348,733.2806666666667,0.0,728.8908228791948,0.0,4.389843787471818,0.0,0.0,10380.98319978884,10376.105595580537
2025-08-13,02:40-02:50,16,2,0.82,0.875,0.4335,750.0939166666667,0.0,727.620018183655,0.0,22.47389848301168,0.0,0.0,10376.105595580537,10351.13459726608
2025-08-13,02:50-03:00,17,2,0.82,0.875,0.4357,731.7816666666665,0.0,726.433034490686,0.0,5.34863217598047,0.0,0.0,10351.13459726608,10345.191672626102
2025-08-13,03:00-03:10,18,2,0.82,0.875,0.4374,712.5815166666666,0.0,727.9872759257553,15.405759259088654,0.0,0.0,0.0,10345.191672626102,10359.056855959283
2025-08-13,03:10-03:20,19,2,0.82,0.875,0.4371,695.2141333333334,0.0,722.9507795814595,27.736646248126135,0.0,0.0,0.0,10359.056855959283,10384.019837582597
2025-08-13,03:20-03:30,20,2,0.82,0.875,0.4356,682.3533333333332,0.0,721.898964951291,39.545631617957724,0.0,0.0,0.0,10384.019837582597,10419.610906038759
2025-08-13,03:30-03:40,21,2,0.82,0.875,0.4353,681.5564333333333,0.0,730.2933613456269,48.73692801229356,0.0,0.0,0.0,10419.610906038759,10463.474141249822
2025-08-13,03:40-03:50,22,2,0.82,0.875,0.436,685.9595333333333,0.0003833333333333333,721.7374944829295,35.77834448292958,0.0,0.0,0.0,10463.474141249822,10495.674651284458
2025-08-13,03:50-04:00,23,2,0.82,0.875,0.4378,679.3633333333332,0.0,708.3139977840975,28.950664450764293,0.0,0.0,0.0,10495.674651284458,10521.730249290145
2025-08-13,04:00-04:10,24,2,0.82,0.875,0.4401,656.46385,0.0,720.3484991347805,63.88464913478049,0.0,0.0,0.0,10521.730249290145,10579.226433511449
2025-08-13,04:10-04:20,25,2,0.82,0.875,0.4389,674.1356833333333,0.0054333333333333326,726.2880917352314,52.1578417352315,0.0,0.0,0.0,10579.226433511449,10626.168491073156
2025-08-13,04:20-04:30,26,2,0.82,0.875,0.4364,714.9416666666666,0.0,714.9193693219312,0.0,0.022297344735420666,0.0,0.0,10626.168491073156,10626.143716245673
2025-08-13,04:30-04:40,27,2,0.82,0.875,0.4393,703.6876833333333,0.0,704.5585203010387,0.8708369677053724,0.0,0.0,0.0,10626.143716245673,10626.927469516608
2025-08-13,04:40-04:50,28,2,0.82,0.875,0.4422,690.5726500000001,0.07565,696.6223376079924,6.125337607992378,0.0,0.0,0.0,10626.927469516608,10632.440273363802
2025-08-13,04:50-05:00,29,2,0.82,0.875,0.4395,684.1316666666667,0.0,690.4085827545302,6.276916087863583,0.0,0.0,0.0,10632.440273363802,10638.089497842879
2025-08-13,05:00-05:10,30,2,0.82,0.875,0.4333,649.7203333333333,0.0,695.0265209531262,45.30618761979292,0.0,0.0,0.0,10638.089497842879,10678.865066700693
2025-08-13,05:10-05:20,31,2,0.82,0.875,0.4439,669.2474333333332,1.67505,696.7556928931367,29.183309559803547,0.0,0.0,0.0,10678.865066700693,10705.130045304517
2025-08-13,05:20-05:30,32,2,0.82,0.875,0.4301,701.4616666666667,16.775,666.8256768514204,0.0,17.860989815246285,0.0,0.0,10705.130045304517,10685.284501065355
2025-08-13,05:30-05:40,33,2,0.82,0.875,0.3713,638.48685,54.81238333333333,1443.2000960775154,127.46166548293937,0.0,0.0,732.0639639279093,10685.284501065355,10800.0
2025-08-13,05:40-05:50,34,2,0.82,0.875,0.5708,703.7226166666666,96.80256666666665,630.7284866184477,0.0,0.0,0.0,23.808436618447786,10800.0,10800.0
2025-08-13,05:50-06:00,35,2,0.82,0.875,0.9099,871.3083333333334,137.54375,0.0,0.0,733.7645833333333,0.0,0.0,10800.0,9984.706018518518
2025-08-13,06:00-06:10,36,2,0.82,0.875,0.9368,874.7654,188.5205,0.0,0.0,686.2449,0.0,0.0,9984.706018518518,9222.211685185184
2025-08-13,06:10-06:20,37,2,0.82,0.875,0.8758,816.2728833333333,243.9040333333333,0.0,0.0,572.3688500000001,0.0,0.0,9222.211685185184,8586.246296296295
2025-08-13,06:20-06:30,38,2,0.82,0.875,0.8759,804.73,299.875,0.0,0.0,504.855,0.0,0.0,8586.246296296295,8025.296296296295
